MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
QLF15C03,M,Y_GE15,2004Q3,14514.5,A,F,NR,3
QLF15C03,F,Y_GE15,2004Q3,12735.0,A,F,NR,3
QLF15C03,T,Y_GE25,2004Q3,24121.3,A,F,NR,3
QLF15C03,M,Y_GE25,2004Q3,12785.7,A,F,NR,3
QLF15C03,F,Y_GE25,2004Q3,11335.6,A,F,NR,3
QLF15C03,T,Y_GE50,2004Q3,6048.1,A,F,NR,3
QLF15C03,M,Y_GE50,2004Q3,3220.7,A,F,NR,3
QLF15C03,F,Y_GE50,2004Q3,2827.4,A,F,NR,3
QLF15C03,T,Y_GE65,2004Q3,112.2,A,F,NR,3
QLF15C03,M,Y_GE65,2004Q3,65.9,U,F,NR,3
QLF15C03,F,Y_GE65,2004Q3,46.3,U,F,NR,3
QLF15C03,T,Y15-64,2004Q4,27084.2,A,F,NR,3
QLF15C03,M,Y15-64,2004Q4,14397.5,A,F,NR,3
QLF15C03,F,Y15-64,2004Q4,12686.6,A,F,NR,3
QLF15C03,T,Y15-19,2004Q4,550.4,A,F,NR,3
QLF15C03,M,Y15-19,2004Q4,347.2,A,F,NR,3
QLF15C03,F,Y15-19,2004Q4,203.2,A,F,NR,3
QLF15C03,T,Y15-24,2004Q4,2852.5,A,F,NR,3
QLF15C03,M,Y15-24,2004Q4,1585.0,A,F,NR,3
QLF15C03,F,Y15-24,2004Q4,1267.5,A,F,NR,3
QLF15C03,T,Y15-39,2004Q4,13461.7,A,F,NR,3
QLF15C03,M,Y15-39,2004Q4,7270.6,A,F,NR,3
QLF15C03,F,Y15-39,2004Q4,6191.1,A,F,NR,3
QLF15C03,T,Y15-59,2004Q4,26699.4,A,F,NR,3
QLF15C03,M,Y15-59,2004Q4,14198.2,A,F,NR,3
QLF15C03,F,Y15-59,2004Q4,12501.2,A,F,NR,3
QLF15C03,T,Y15-74,2004Q4,27182.9,A,F,NR,3
QLF15C03,M,Y15-74,2004Q4,14461.6,A,F,NR,3
QLF15C03,F,Y15-74,2004Q4,12721.3,A,F,NR,3
QLF15C03,T,Y20-24,2004Q4,2302.1,A,F,NR,3
QLF15C03,M,Y20-24,2004Q4,1237.8,A,F,NR,3
QLF15C03,F,Y20-24,2004Q4,1064.3,A,F,NR,3
QLF15C03,T,Y20-64,2004Q4,26533.7,A,F,NR,3
QLF15C03,M,Y20-64,2004Q4,14050.3,A,F,NR,3
QLF15C03,F,Y20-64,2004Q4,12483.4,A,F,NR,3
QLF15C03,T,Y25-29,2004Q4,3139.5,A,F,NR,3
QLF15C03,M,Y25-29,2004Q4,1673.2,A,F,NR,3
QLF15C03,F,Y25-29,2004Q4,1466.3,A,F,NR,3
QLF15C03,T,Y25-49,2004Q4,18195.3,A,F,NR,3
QLF15C03,M,Y25-49,2004Q4,9638.6,A,F,NR,3
QLF15C03,F,Y25-49,2004Q4,8556.7,A,F,NR,3
QLF15C03,T,Y25-54,2004Q4,21639.5,A,F,NR,3
QLF15C03,M,Y25-54,2004Q4,11446.6,A,F,NR,3
QLF15C03,F,Y25-54,2004Q4,10193.0,A,F,NR,3
QLF15C03,T,Y25-59,2004Q4,23846.9,A,F,NR,3
QLF15C03,M,Y25-59,2004Q4,12613.2,A,F,NR,3
QLF15C03,F,Y25-59,2004Q4,11233.7,A,F,NR,3
QLF15C03,T,Y25-64,2004Q4,24231.6,A,F,NR,3
QLF15C03,M,Y25-64,2004Q4,12812.5,A,F,NR,3
QLF15C03,F,Y25-64,2004Q4,11419.1,A,F,NR,3
QLF15C03,T,Y25-74,2004Q4,24330.3,A,F,NR,3
QLF15C03,M,Y25-74,2004Q4,12876.6,A,F,NR,3
QLF15C03,F,Y25-74,2004Q4,11453.8,A,F,NR,3
QLF15C03,T,Y30-34,2004Q4,3702.2,A,F,NR,3
QLF15C03,M,Y30-34,2004Q4,2000.9,A,F,NR,3
QLF15C03,F,Y30-34,2004Q4,1701.3,A,F,NR,3
QLF15C03,T,Y35-39,2004Q4,3767.5,A,F,NR,3
QLF15C03,M,Y35-39,2004Q4,2011.5,A,F,NR,3
QLF15C03,F,Y35-39,2004Q4,1756.0,A,F,NR,3
QLF15C03,T,Y40-44,2004Q4,3869.9,A,F,NR,3
QLF15C03,M,Y40-44,2004Q4,2018.3,A,F,NR,3
QLF15C03,F,Y40-44,2004Q4,1851.6,A,F,NR,3
QLF15C03,T,Y40-59,2004Q4,13237.7,A,F,NR,3
QLF15C03,M,Y40-59,2004Q4,6927.7,A,F,NR,3
QLF15C03,F,Y40-59,2004Q4,6310.1,A,F,NR,3
QLF15C03,T,Y40-64,2004Q4,13622.5,A,F,NR,3
QLF15C03,M,Y40-64,2004Q4,7127.0,A,F,NR,3
QLF15C03,F,Y40-64,2004Q4,6495.5,A,F,NR,3
QLF15C03,T,Y45-49,2004Q4,3716.2,A,F,NR,3
QLF15C03,M,Y45-49,2004Q4,1934.7,A,F,NR,3
QLF15C03,F,Y45-49,2004Q4,1781.5,A,F,NR,3
QLF15C03,T,Y50-54,2004Q4,3444.3,A,F,NR,3
QLF15C03,M,Y50-54,2004Q4,1808.0,A,F,NR,3
QLF15C03,F,Y50-54,2004Q4,1636.3,A,F,NR,3
QLF15C03,T,Y50-59,2004Q4,5651.6,A,F,NR,3
QLF15C03,M,Y50-59,2004Q4,2974.6,A,F,NR,3
QLF15C03,F,Y50-59,2004Q4,2677.0,A,F,NR,3
QLF15C03,T,Y50-64,2004Q4,6036.4,A,F,NR,3
QLF15C03,M,Y50-64,2004Q4,3173.9,A,F,NR,3
QLF15C03,F,Y50-64,2004Q4,2862.5,A,F,NR,3
QLF15C03,T,Y50-74,2004Q4,6135.1,A,F,NR,3
QLF15C03,M,Y50-74,2004Q4,3237.9,A,F,NR,3
QLF15C03,F,Y50-74,2004Q4,2897.1,A,F,NR,3
QLF15C03,T,Y55-59,2004Q4,2207.3,A,F,NR,3
QLF15C03,M,Y55-59,2004Q4,1166.6,A,F,NR,3
QLF15C03,F,Y55-59,2004Q4,1040.7,A,F,NR,3
QLF15C03,T,Y55-64,2004Q4,2592.1,A,F,NR,3
QLF15C03,M,Y55-64,2004Q4,1365.9,A,F,NR,3
QLF15C03,F,Y55-64,2004Q4,1226.1,A,F,NR,3
QLF15C03,T,Y60-64,2004Q4,384.8,A,F,NR,3
QLF15C03,M,Y60-64,2004Q4,199.3,A,F,NR,3
QLF15C03,F,Y60-64,2004Q4,185.5,A,F,NR,3
QLF15C03,T,Y65-69,2004Q4,77.7,A,F,NR,3
QLF15C03,M,Y65-69,2004Q4,50.2,U,F,NR,3
QLF15C03,T,Y65-74,2004Q4,98.7,A,F,NR,3
QLF15C03,M,Y65-74,2004Q4,64.0,U,F,NR,3
QLF15C03,T,Y_GE15,2004Q4,27193.5,A,F,NR,3
QLF15C03,M,Y_GE15,2004Q4,14468.5,A,F,NR,3
QLF15C03,F,Y_GE15,2004Q4,12725.0,A,F,NR,3
QLF15C03,T,Y_GE25,2004Q4,24340.9,A,F,NR,3
QLF15C03,M,Y_GE25,2004Q4,12883.5,A,F,NR,3
QLF15C03,F,Y_GE25,2004Q4,11457.4,A,F,NR,3
QLF15C03,T,Y_GE50,2004Q4,6145.7,A,F,NR,3
QLF15C03,M,Y_GE50,2004Q4,3244.9,A,F,NR,3
QLF15C03,F,Y_GE50,2004Q4,2900.8,A,F,NR,3
QLF15C03,T,Y_GE65,2004Q4,109.3,A,F,NR,3
